Group,Participant,Time,Swimming,Flooding,Biodiversity,Water Quality
A,1,0:00:00,4,3,2,1
A,1,0:25:38,3,2,4,1
A,1,0:43:47,0,0,0,0
A,1,0:44:45,2,1,3,4
A,1,0:54:33,2,1,3,4
A,1,1:08:17,2,1,3,4
A,1,1:13:25,2,1,4,3
A,1,1:14:22,1,2,4,3
A,1,1:14:52,1,2,4,3
A,1,1:22:53,0,0,0,0
A,1,1:40:00,1,2,4,3
A,2,0:00:00,1.94,0.94,2.94,3.94
A,2,0:23:45,1.94,0.94,3.94,2.94
A,2,0:29:12,0,0,0,0
A,2,0:29:12,0,0,0,0
A,2,0:32:31,1.94,0.94,3.94,2.94
A,2,0:32:41,0,0,0,0
A,2,0:32:41,0,0,0,0
A,2,0:33:09,0,0,0,0
A,2,0:33:09,0,0,0,0
A,2,0:33:09,0,0,0,0
A,2,0:36:19,0,0,0,0
A,2,0:36:19,0,0,0,0
A,2,0:36:19,0,0,0,0
A,2,0:37:31,0,0,0,0
A,2,0:38:42,0,0,0,0
A,2,0:42:27,0,0,0,0
A,2,0:42:27,0,0,0,0
A,2,0:42:27,0,0,0,0
A,2,0:44:23,0,0,0,0
A,2,0:44:23,0,0,0,0
A,2,0:53:35,1.94,0.94,3.94,2.94
A,2,1:07:45,1.94,0.94,3.94,2.94
A,2,1:14:22,0.94,1.94,3.94,2.94
A,2,1:14:52,0.94,1.94,3.94,2.94
A,2,1:44:13,0,0,0,0
A,2,1:44:13,0,0,0,0
A,2,1:40:00,0.94,1.94,3.94,2.94
A,3,0:00:00,1.04,2.04,3.04,4.04
A,3,0:23:55,1.04,2.04,3.04,4.04
A,3,0:30:30,1.04,2.04,3.04,4.04
A,3,0:48:46,0,0,0,0
A,3,0:48:46,0,0,0,0
A,3,0:54:33,1.04,2.04,3.04,4.04
A,3,1:08:17,1.04,2.04,3.04,4.04
A,3,1:13:25,1.04,2.04,4.04,3.04
A,3,1:14:22,1.04,2.04,4.04,3.04
A,3,1:14:52,1.04,2.04,4.04,3.04
A,3,1:22:45,0,0,0,0
A,3,1:22:45,0,0,0,0
A,3,1:39:57,0,0,0,0
A,3,1:40:00,1.04,2.04,4.04,3.04
A,4,0:00:00,0.96,3.96,2.96,1.96
A,4,0:23:52,0.96,2.96,3.96,1.96
A,4,0:30:54,0.96,1.96,2.96,3.96
A,4,0:31:06,0,0,0,0
A,4,0:31:06,0,0,0,0
A,4,0:31:06,0,0,0,0
A,4,0:40:31,0.96,1.96,3.96,2.96
A,4,0:40:32,0,0,0,0
A,4,0:40:32,0,0,0,0
A,4,0:40:32,0,0,0,0
A,4,0:40:32,0,0,0,0
A,4,0:40:32,0,0,0,0
A,4,0:40:32,0,0,0,0
A,4,0:54:32,0.96,3.96,1.96,2.96
A,4,0:54:58,0,0,0,0
A,4,0:54:58,0,0,0,0
A,4,0:54:58,0,0,0,0
A,4,0:54:58,0,0,0,0
A,4,0:54:58,0,0,0,0
A,4,0:55:00,0.96,3.96,1.96,2.96
A,4,1:07:45,0.96,2.96,3.96,1.96
A,4,1:14:22,0.96,2.96,3.96,1.96
A,4,1:14:43,0,0,0,0
A,4,1:14:43,0,0,0,0
A,4,1:14:43,0,0,0,0
A,4,1:14:52,0.96,1.96,3.96,2.96
A,4,1:28:08,0,0,0,0
A,4,1:33:52,0,0,0,0
A,4,1:33:52,0,0,0,0
A,4,1:43:54,0,0,0,0
A,4,1:43:54,0,0,0,0
A,4,1:40:00,0.96,1.96,3.96,2.96
A,5,0:00:00,2.02,3.02,1.02,4.02
A,5,0:23:47,1.02,2.02,4.02,3.02
A,5,0:24:13,3.02,1.02,4.02,2.02
A,5,0:31:16,0,0,0,0
A,5,0:33:04,0,0,0,0
A,5,0:33:04,0,0,0,0
A,5,0:36:46,0,0,0,0
A,5,0:43:05,3.02,1.02,4.02,2.02
A,5,0:43:07,0,0,0,0
A,5,0:43:07,0,0,0,0
A,5,0:53:35,3.02,1.02,4.02,2.02
A,5,1:07:45,3.02,1.02,4.02,2.02
A,5,1:14:22,1.02,2.02,4.02,3.02
A,5,1:14:52,1.02,2.02,4.02,3.02
A,5,1:40:00,1.02,2.02,4.02,3.02
A,6,0:00:00,0.98,2.98,1.98,3.98
A,6,0:26:16,0.98,2.98,1.98,3.98
A,6,0:30:01,0,0,0,0
A,6,0:30:10,0.98,2.98,1.98,3.98
A,6,0:32:45,0.98,1.98,2.98,3.98
A,6,0:36:59,0.98,1.98,2.98,3.98
A,6,0:37:18,0,0,0,0
A,6,0:37:18,0,0,0,0
A,6,0:37:18,0,0,0,0
A,6,0:39:36,0,0,0,0
A,6,0:52:59,0.98,1.98,2.98,3.98
A,6,0:54:33,0.98,1.98,2.98,3.98
A,6,1:06:57,0.98,1.98,2.98,3.98
A,6,1:08:17,0.98,1.98,2.98,3.98
A,6,1:13:25,0.98,1.98,3.98,2.98
A,6,1:14:22,0.98,1.98,3.98,2.98
A,6,1:40:00,0.98,1.98,3.98,2.98
B,1,0:00:00,1.98,2.98,3.98,0.98
B,1,0:10:19,0.98,1.98,2.98,3.98
B,1,0:13:02,0.98,1.98,2.98,3.98
B,1,0:14:02,0.98,1.98,2.98,3.98
B,1,0:19:10,0.98,1.98,3.98,2.98
B,1,0:28:00,0.98,1.98,3.98,2.98
B,1,0:31:22,0.98,1.98,3.98,2.98
B,1,0:41:51,0.98,1.98,3.98,2.98
B,1,0:45:50,0.98,1.98,3.98,2.98
